Title,Authors,Venues,Years,Types,Months,Tracks,Editors&Pages,Publishers,Awards,VenueNames,PDFNames,Sub-topics,Topics,Presentation
DVC in Open Source AI-development: The Action and the Reaction,"Lorena Barreto Simedo Pacheco,Musfiqur Rahman,Fazle Rabbi,Pouya Fathollahzadeh, Ahmad Abdellatif, Emad Shihab,Tse-Hsun (Peter) Chen,Jinqiu Yang, Ying Zou",CAIN,2024,Refereed Conference and Workshop Publications,1,,,,,,,,,
Predicting the Change Impact of Resolving Defects by Leveraging the Topics of Issue Reports in Open Source Software Systems,"Maram Assi, Safwat Hassan, Stefanos Georgiou, Ying Zou",TOSEM,2023,Journal Papers,4,,,,,,TOSEM-Assi-2023,"Defects, Issue Reports","Software Analytics, Defect Prediction",
Ranking Code Clones to Support Maintenance Activities,"Osama Ehsan, Foutse Khomh, Ying Zou, Dong Qiu",EMSE,2023,Journal Papers,1,,,,,,EMSE-Osama-2023,"Code Clones, Clone Evolution",Code Clones,
Studying the Interplay between the Durations and Breakages of Continuous Integration Builds,"Taher A. Ghaleb, Safwat Hassan, Ying Zou",TSE,2022,Journal Papers,11,,,,,,TSE-Taher-2022,"Continuous Integration, Build Systems",Build Systems,
Adopting Learning-to-rank Algorithm for Reviewer Recommendation,"Guoliang Zhao, Daniel Alencar da Costa, Jiawen Liu, Ying Zou",EVOKE-CASCON,2022,Refereed Conference and Workshop Publications,8,,,,,,EVOKE-CASCON-2022-Zhao,"Pull Request, Code Review",Software Analytics,
Modeling User Reviews Through Bayesian Graph Attention Networks for Recommendation,"Yu Zhao, Qiang Xu, Ying Zou, Wei Li",TOIS,2022,Journal Papers,10,,,,,,,"Service Recommendation, Empirical Study",Web Services and Web Applications,
"Web APIs: Features, Issues, and Expectations – A Large-Scale Empirical Study of Web APIs from Two Publicly Accessible Registries using Stack Overflow and a User Survey","Neng Zhang, Ying Zou, Xin Xia, Qiao Huang, David Lo, Shanping Li",TSE,2022,Journal Papers,2,,,,,,TSE-Neng-2022,Empirical Study,Web APIs,
Green AI: Do Deep Learning Frameworks Have Different Costs?,"Stefanos Georgiou, Maria Kechagia, Tushar Sharma, Federica Sarro, Ying Zou",ICSE,2022,Refereed Conference and Workshop Publications,,,,,,,ICSE-Georgiou-2022,Software Energy,Software Analytics,
ShellFusion: Answer Generation for Shell Programming Tasks via Knowledge Fusion,"Neng Zhang, Chao Liu, Xin Xia, Christoph Treude, Ying Zou, David Lo, Zibin Zheng",ICSE,2022,Refereed Conference and Workshop Publications,,,,,,,ICSE-Neng-2022,Knowledge Mining,Natural language processing,
Studying the Unfulfilled Promises of Continuous Integration,Taher Ahmed Ghaleb,Others,2021,Theses,9,,230 pp.,,,Ph.D. Thesis,Thesis-Taher-2021,"Continuous Integration, Build Systems",Build Systems,
Exploring the Use of Chatrooms by Developers: An Empirical Study on Slack and Gitter,"Mariam Elmezouar, Daniel Alencar da Costa, Daniel German, Ying Zou",TSE,2021,Journal Papers,8,,,,,,TSE-Mariam-2021,"Chatrooms, Empirical Study",Software Analytics,
An Empirical Study on Release Notes Patterns of Popular Apps in the Google Play Store,"Aidan Z.H. Yang, Safwat Hassan, Ying Zou, Ahmed E. Hassan",EMSE,2021,Journal Papers,8,,,,,,EMSE-Aidan-2021,"Mobile Applications",Mobile Applications,
Is Late Propagation a Harmful Code Clone Evolutionary Pattern? An Empirical Study,"Osama Ehsan, Lillane Barbour, Foutse Khomh, Ying Zou",Others,2021,Books or Book Chapters,,,"Katsuro Inoue and Chanchal K. Roy, pp. 151-167",Springer,,Code Clone Analysis,BOOK-Ehsan-2021,"Code Clones, Clone Evolution",Code Clones,https://www.dropbox.com/s/jw0lgjm2w422xu4/Cascon_video_osama.mp4
An Exploratory Study on the Repeatedly Shared External Links on Stack Overflow,"Jiakun Liu, Haoxiang Zhang, Xin Xia, David Lo, Ying Zou, Ahmed E. Hassan, Shanping Li",EMSE,2021,Journal Papers,7,,,,,,EMSE-Liu-2021,"Stack Overflow, Empirical Study",Software Analytics,
On the Popularity of Internet of Things Projects in Online Communities,"Taher Ahmed Ghaleb, Daniel Alencar da Costa, Ying Zou",ISF,2021,Journal Papers,6,,,,,,ISF-Ghaleb-2021,"IoT, Information Systes, Empirical Study",Data Analytics,
Broken External Links on Stack Overflow,"Jiakun Liu,  Xin Xia, David Lo, Haoxiang Zhang, Ying Zou, Ahmed E. Hassan, Shanping Li",TSE,2021,Journal Papers,5,,,,,,TSE-Liu-2021,"Stack Overflow, Empirical Study",Software Analytics,
FeatCompare: Feature Comparison for Competing Mobile Apps Leveraging User Reviews,"Maram Assi, Safwat Hassan, Yuan Tian, Ying Zou",EMSE,2021,Journal Papers,4,,,,,,EMSE-Assi-2021,"Mobile Applications",Mobile Applications,
Pred-Cache: A Predictive Caching Method in Database Systems,"Omar El Zarif, Safwat Hassan, Ying Zou, Calisto Zuzarte, Vincent Corvinelli, Mohammed Al Hamid",EVOKE-CASCON,2020,Refereed Conference and Workshop Publications,8,,,,,,EVOKE-CASCON-2020-ElZarif,"Caching, Predictive models",Data Analytics,https://youtu.be/4le5U0LdpGw
Chatbot4QR: Interactive Query Refinement for Technical Question Retrieval,"Neng Zhang, Qiao Huang, Xin Xia, Ying Zou, David Lo, Zhenchang Xing",TSE,2020,Journal Papers,8,,,,,,TSE-2020-Zhang,"Chatbots, Question Retrieval, Empirical Study",Data Analytics,https://youtu.be/R-b6YY4gYz4
Predicting Performance Anomalies in Software Systems at Run-time,"Guoliang Zhao, Safwat Hassan, Ying Zou, Derek Truong, Toby Corbin",TOSEM,2020,Journal Papers,12,,,,,,TOSEM-Guoliang-2020,"Software Performance, Empirical Study",Software Analytics,https://youtu.be/8IqyvgxJ3us
An Empirical Study of Developer Discussions in the Gitter Platform,"Osama Ehsan, Safwat Hassan, Mariam Mezouar, Ying Zou",TOSEM,2020,Journal Papers,7,,,,,,TOSEM-Ehsan-2020,"Chatrooms, Empirical Study",Software Analytics,https://youtu.be/K0588cQbIcY
On the Relationship between User Churn and Software Issues,"Omar El Zarif, Daniel Alencar da Costa, Safwat Hassan, Ying Zou",MSR,2020,Refereed Conference and Workshop Publications,3,,,,,,MSR-ElZarif-2020,Mining Software Repositories (MSR),Software Analytics,https://youtu.be/kjYr4hH2iXg
