Abbr,Name
ACSE,International Workshop on Adoption-Centric Software Engineering (ACSE)
AOSD,International Workshop on Aspect-Oriented Modeling (AOSD)
APSEC,Asia-Pacific Software Engineering Conference (APSEC)
EVOKE-CASCON, EVOKE CASCON
CASCON,International Conference on Computer Science and Software Engineering (CASCON)
CASCON(Prev.),International Conference of the Centers for Advanced Studies (CASCON)
COMPSAC,International Computer Software and Applications Conference (COMPSAC)
EAI,Workshop on Enterprise Application Integration (EAI)
EDO,International Workshop on Engineering Distributed Objects (EDO)
EMSE,Journal of Empirical Software Engineering (EMSE)
ESEC/FSE,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE)
ESEM,International Symposium on Empirical Software Engineering and Measurement (ESEM)
ICPC,IEEE International Conference on Program Comprehension (ICPC)
ICSE,International Conference on Software Engineering (ICSE)
ICSM,IEEE International Conference on Software Maintenance (ICSM)
ICSME,IEEE International Conference on Software Maintenance and Evolution (ICSME)
ICSOC,International Conference on Service Oriented Computing (ICSOC)
ICWE,International Conference on Web Engineering (ICWE)
ICWS,IEEE International Conference on Web Services (ICWS)
IJBPIM,International Journal of Business Process Integration and Management (IJBPIM)
ISF,Information Systems Frontiers (ISF)
IWSC,International Workshop on Software Clones (IWSC)
JOT,Journal of Object Technology (JOT)
JSEP,Journal of Software: Research and Process (JSEP)
JSME,Journal of Software Maintenance and Evolution: Research and Practice (JSME)
JSS,Journal of Systems and Software (JSS)
KCSD,International Workshop on Knowledge Collaboration in Software Development (KCSD)
MDDAUI,International Model Driven Development of Advanced User Interfaces (MDDAUI)
MESOCA,International Workshop on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems (MESOCA)
MODELS,International Conference on Model Driven Engineering Languages and Systems (MODELS)
MSR,International Conference on Mining Software Repositories (MSR)
NCC,International Workshop on Net-Centric Computing: Migrating to the Web (NCC)
PCODA,International Workshop on Program Comprehension through Dynamic Analysis (PCODA)
Promise,IEEE International Conference on Predictive Models in Software Engineering (Promise)
PWT,International Workshop on Personalized Web Tasking (PWT)
QSIC,International Conference on Quality Software (QSIC)
RETR,International Workshop on Reverse Engineering To Requirements (RETR)
SAM,"Workshop on Software Analysis and Maintenance: Practices, Tools, Interoperability (SAM)"
SANER,"International Conference on Software Analysis, Evolution and Reengineering (SANER)"
SANER(Prev.),IEEE CSMR-18/WCRE-21 2014 Software Evolution Week (SANER)
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation (SCAM)
SCC,IEEE International Conference on Services Computing (SCC)
SCP,Journal of Science of Computer Programming (SCP)
SDSOA,International Workshop on Systems Development in SOA Environments (SDSOA)
Services,IEEE World Congress on Services (Services)
SET,International Workshop on Software Evolution Transformations (SET)
SITCON,Smart Internet Technologies Working Conference (SITCON)
SOCA,Journal of Service-Oriented Computing and Applications (SOCA)
SOCA(Conf.),IEEE International Conference on Service-Oriented Computing and Applications (SOCA)
SPE,Journal of Software Practice and Experience (SPE)
STEP,IEEE International Workshop on Software Technology and Engineering Practice (STEP)
STTT,International Journal on Software Tools for Technology Transfer (STTT)
TOSEM,ACM Transactions on Software Engineering and Methodology (TOSEM)
TOIS,ACM Transactions on Information Systems (TOIS)
TSC,IEEE Transactions on Services Computing (TSC)
TSE,IEEE Transactions on Software Engineering (TSE)
WCRE,Working Conference on Reverse Engineering (WCRE)
WSE,IEEE International Symposium on Web Systems Evolution (WSE)
XSE,Workshop on XML Technologies and Software Engineering (XSE)
MIDDLEWARE,ACM/IFIP/USENIX International Middleware Conference (MIDDLEWARE)
ASE,International Conference on Automated Software Engineering (ASE)
CAIN,International Conference on AI Engineering - Software Engineering for AI (CAIN)
AI-IDE,The Proceedings for the 2nd Workshop on Integrated Development Environments (the IDE Workshop), co-located with the International Conference on Software Engineering (ICSE) , Ottawa, Canada
arxiv,arXiv is a curated research-sharing platform open to anyone
