Abbr,Type,Summary,Rank
ICSE,Conference,ICSE,1
ESEC/FSE,Conference,ESEC/FSE,2
MSR,Conference,MSR,3
ICSM,Conference,ICSME,4
ICSME,Conference,ICSME,4
ICSOC,Conference,ICSOC,5
ICWS,Conference,ICWS,6
ICWE,Conference,ICWE,7
MODELS,Conference,MODELS,8
APSEC,Conference,APSEC,9
SCC,Conference,SCC,10
SANER,Conference,SANER,11
SANER(Prev.),Conference,SANER,11
WCRE,Conference,WCRE,12
CASCON,Conference,CASCON,13
CASCON(Prev.),Conference,CASCON,13
COMPSAC,Conference,COMPSAC,14
ESEM,Conference,ESEM,15
ICPC,Conference,ICPC,16
QSIC,Conference,QSIC,17
SCAM,Conference,SCAM,18
Services,Conference,Services,19
SOCA(Conf.),Conference,SOCA(Conf.),20
MIDDLEWARE,Conference,MIDDLEWARE,21
Promise,Conference,Promise,22
TSE,Journal,TSE,1
EMSE,Journal,EMSE,2
TSC,Journal,TSC,3
JSS,Journal,JSS,4
JSEP,Journal,JSEP,5
JSME,Journal,JSEP,5
SPE,Journal,SPE,6
SCP,Journal,SCP,7
SOCA,Journal,SOCA,8
STTT,Journal,STTT,9
IJBPIM,Journal,IJBPIM,10
ACSE,Others,,
AOSD,Others,,
EAI,Others,,
EDO,Others,,
IWSC,Others,,
JOT,Others,,
KCSD,Others,,
MDDAUI,Others,,
MESOCA,Others,,
NCC,Others,,
PCODA,Others,,
PWT,Others,,
RETR,Others,,
SAM,Others,,
SDSOA,Others,,
SET,Others,,
SITCON,Others,,
STEP,Others,,
WSE,Others,,
XSE,Others,,
